sigma_0.1_tau,sigma_0.1_strain,sigma_0.1_strain_rate,sigma_0.2_tau,sigma_0.2_strain,sigma_0.2_strain_rate
1.01600000e+01,2.01039513e+08,9.69094807e+08,1.01600000e+01,7.30421110e+15,3.52093645e+16
1.01700000e+01,2.11221264e+08,1.01817512e+09,1.01700000e+01,7.67413671e+15,3.69925613e+16
1.01800000e+01,2.21918676e+08,1.06974114e+09,1.01800000e+01,8.06279740e+15,3.88660690e+16
1.01900000e+01,2.33157863e+08,1.12391874e+09,1.01900000e+01,8.47114201e+15,4.08344615e+16
1.02000000e+01,2.44966265e+08,1.18084020e+09,1.02000000e+01,8.90016746e+15,4.29025443e+16
1.02100000e+01,2.57372710e+08,1.24064447e+09,1.02100000e+01,9.35092112e+15,4.50753662e+16
1.02200000e+01,2.70407485e+08,1.30347756e+09,1.02200000e+01,9.82450344e+15,4.73582318e+16
1.02300000e+01,2.84102414e+08,1.36949287e+09,1.02300000e+01,1.03220706e+16,4.97567144e+16
1.02400000e+01,2.98490929e+08,1.43885155e+09,1.02400000e+01,1.08448373e+16,5.22766694e+16
1.02500000e+01,3.13608159e+08,1.51172295e+09,1.02500000e+01,1.13940798e+16,5.49242488e+16
1.02600000e+01,3.29491008e+08,1.58828495e+09,1.02600000e+01,1.19711389e+16,5.77059162e+16
1.02700000e+01,3.46178253e+08,1.66872448e+09,1.02700000e+01,1.25774236e+16,6.06284627e+16
1.02800000e+01,3.63710632e+08,1.75323791e+09,1.02800000e+01,1.32144138e+16,6.36990231e+16
1.02900000e+01,3.82130948e+08,1.84203156e+09,1.02900000e+01,1.38836647e+16,6.69250936e+16
1.03000000e+01,4.01484170e+08,1.93532222e+09,1.03000000e+01,1.45868102e+16,7.03145502e+16
1.03100000e+01,4.21817546e+08,2.03333763e+09,1.03100000e+01,1.53255669e+16,7.38756676e+16
1.03200000e+01,4.43180717e+08,2.13631709e+09,1.03200000e+01,1.61017383e+16,7.76171396e+16
1.03300000e+01,4.65625837e+08,2.24451199e+09,1.03300000e+01,1.69172193e+16,8.15481005e+16
1.03400000e+01,4.89207702e+08,2.35818648e+09,1.03400000e+01,1.77740008e+16,8.56781469e+16
1.03500000e+01,5.13983883e+08,2.47761807e+09,1.03500000e+01,1.86741744e+16,9.00173617e+16
1.03600000e+01,5.40014866e+08,2.60309834e+09,1.03600000e+01,1.96199378e+16,9.45763384e+16
1.03700000e+01,5.67364202e+08,2.73493363e+09,1.03700000e+01,2.06135998e+16,9.93662068e+16
1.03800000e+01,5.96098660e+08,2.87344578e+09,1.03800000e+01,2.16575864e+16,1.04398661e+17
1.03900000e+01,6.26288390e+08,3.01897295e+09,1.03900000e+01,2.27544463e+16,1.09685986e+17
1.04000000e+01,6.58007094e+08,3.17187043e+09,1.04000000e+01,2.39068572e+16,1.15241090e+17
1.04100000e+01,6.91332209e+08,3.33251147e+09,1.04100000e+01,2.51176326e+16,1.21077536e+17
