sigma_0.001148105625717566_tau,sigma_0.001148105625717566_strain,sigma_0.001148105625717566_strain_rate,sigma_0.2_tau,sigma_0.2_strain,sigma_0.2_strain_rate
4.12500000e+00,1.09291552e+00,2.36354912e-02,4.12500000e+00,3.43734508e+140,2.32185659e+142
4.13000000e+00,1.09303368e+00,2.36329203e-02,4.13000000e+00,5.19032423e+140,3.50595831e+142
4.13500000e+00,1.09315184e+00,2.36303290e-02,4.13500000e+00,7.83728868e+140,5.29392888e+142
4.14000000e+00,1.09326997e+00,2.36277175e-02,4.14000000e+00,1.18341535e+141,7.99372968e+142
4.14500000e+00,1.09338810e+00,2.36250863e-02,4.14500000e+00,1.78693417e+141,1.20703764e+143
4.15000000e+00,1.09350621e+00,2.36224357e-02,4.15000000e+00,2.69823585e+141,1.82260337e+143
4.15500000e+00,1.09362431e+00,2.36197659e-02,4.15500000e+00,4.07428368e+141,2.75209564e+143
4.16000000e+00,1.09374240e+00,2.36170774e-02,4.16000000e+00,6.15208913e+141,4.15561091e+143
4.16500000e+00,1.09386047e+00,2.36143704e-02,4.16500000e+00,9.28953497e+141,6.27489168e+143
4.17000000e+00,1.09397853e+00,2.36116453e-02,4.17000000e+00,1.40270172e+142,9.47496443e+143
4.17500000e+00,1.09409657e+00,2.36089024e-02,4.17500000e+00,2.11805232e+142,1.43070121e+144
4.18000000e+00,1.09421460e+00,2.36061421e-02,4.18000000e+00,3.19821782e+142,2.16033100e+144
4.18500000e+00,1.09433262e+00,2.36033646e-02,4.18500000e+00,4.82924673e+142,3.26205781e+144
4.19000000e+00,1.09445062e+00,2.36005704e-02,4.19000000e+00,7.29206866e+142,4.92564387e+144
4.19500000e+00,1.09456861e+00,2.35977598e-02,4.19500000e+00,1.10108819e+143,7.43762646e+144
4.20000000e+00,1.09468659e+00,2.35949332e-02,4.20000000e+00,1.66262176e+143,1.12306713e+145
4.20500000e+00,1.09480455e+00,2.35920907e-02,4.20500000e+00,2.51052653e+143,1.69580954e+145
4.21000000e+00,1.09492249e+00,2.35892330e-02,4.21000000e+00,3.79084624e+143,2.56063943e+145
4.21500000e+00,1.09504042e+00,2.35863601e-02,4.21500000e+00,5.72410411e+143,3.86651575e+145
4.22000000e+00,1.09515834e+00,2.35834726e-02,4.22000000e+00,8.64328591e+143,5.83836360e+145
4.22500000e+00,1.09527624e+00,2.35805708e-02,4.22500000e+00,1.30511937e+144,8.81581552e+145
4.23000000e+00,1.09539413e+00,2.35776549e-02,4.23000000e+00,1.97070487e+144,1.33117100e+146
4.23500000e+00,1.09551201e+00,2.35747255e-02,4.23500000e+00,2.97572603e+144,2.01004233e+146
4.24000000e+00,1.09562986e+00,2.35717827e-02,4.24000000e+00,4.49328845e+144,3.03512484e+146
4.24500000e+00,1.09574771e+00,2.35688271e-02,4.24500000e+00,6.78477820e+144,4.58297949e+146
4.25000000e+00,1.09586554e+00,2.35658588e-02,4.25000000e+00,1.02448832e+145,6.92020992e+146
4.25500000e+00,1.09598335e+00,2.35628783e-02,4.25500000e+00,1.54695744e+145,1.04493824e+147
4.26000000e+00,1.09610115e+00,2.35598860e-02,4.26000000e+00,2.33587565e+145,1.57783643e+147
4.26500000e+00,1.09621894e+00,2.35568822e-02,4.26500000e+00,3.52712682e+145,2.38250233e+147
4.27000000e+00,1.09633671e+00,2.35538672e-02,4.27000000e+00,5.32589291e+145,3.59753219e+147
4.27500000e+00,1.09645446e+00,2.35508415e-02,4.27500000e+00,8.04199474e+145,5.43220366e+147
4.28000000e+00,1.09657220e+00,2.35478053e-02,4.28000000e+00,1.21432557e+146,8.20252191e+147
4.28500000e+00,1.09668992e+00,2.35447590e-02,4.28500000e+00,1.83360800e+146,1.23856486e+148
4.29000000e+00,1.09680763e+00,2.35417031e-02,4.29000000e+00,2.76871243e+146,1.87020886e+148
4.29500000e+00,1.09692532e+00,2.35386378e-02,4.29500000e+00,4.18070193e+146,2.82397901e+148
4.30000000e+00,1.09704300e+00,2.35355635e-02,4.30000000e+00,6.31277863e+146,4.26415339e+148
4.30500000e+00,1.09716066e+00,2.35324805e-02,4.30500000e+00,9.53217299e+146,6.43878872e+148
4.31000000e+00,1.09727831e+00,2.35293893e-02,4.31000000e+00,1.43933959e+147,9.72244577e+148
4.31500000e+00,1.09739594e+00,2.35262903e-02,4.31500000e+00,2.17337479e+147,1.46807041e+149
4.32000000e+00,1.09751356e+00,2.35231836e-02,4.32000000e+00,3.28175368e+147,2.21675777e+149
4.32500000e+00,1.09763116e+00,2.35200698e-02,4.32500000e+00,4.95538424e+147,3.34726113e+149
4.33000000e+00,1.09774874e+00,2.35169492e-02,4.33000000e+00,7.48253385e+147,5.05429922e+149
4.33500000e+00,1.09786631e+00,2.35138221e-02,4.33500000e+00,1.12984806e+148,7.63189356e+149
4.34000000e+00,1.09798387e+00,2.35106889e-02,4.34000000e+00,1.70604861e+148,1.15240109e+150
4.34500000e+00,1.09810140e+00,2.35075499e-02,4.34500000e+00,2.57610022e+148,1.74010324e+150
4.35000000e+00,1.09821893e+00,2.35044056e-02,4.35000000e+00,3.88986125e+148,2.62752205e+150
4.35500000e+00,1.09833643e+00,2.35012563e-02,4.35500000e+00,5.87361486e+148,3.96750721e+150
4.36000000e+00,1.09845392e+00,2.34981024e-02,4.36000000e+00,8.86904423e+148,5.99085874e+150
4.36500000e+00,1.09857140e+00,2.34949441e-02,4.36500000e+00,1.33920843e+149,9.04608022e+150
4.37000000e+00,1.09868886e+00,2.34917820e-02,4.37000000e+00,2.02217870e+149,1.36594052e+151
4.37500000e+00,1.09880630e+00,2.34886162e-02,4.37500000e+00,3.05345051e+149,2.06254363e+151
4.38000000e+00,1.09892373e+00,2.34854473e-02,4.38000000e+00,4.61065090e+149,3.11440078e+151
4.38500000e+00,1.09904114e+00,2.34822755e-02,4.38500000e+00,6.96199322e+149,4.70268463e+151
4.39000000e+00,1.09915853e+00,2.34791012e-02,4.39000000e+00,1.05124744e+150,7.10096235e+151
4.39500000e+00,1.09927591e+00,2.34759248e-02,4.39500000e+00,1.58736319e+150,1.07223151e+152
4.40000000e+00,1.09939328e+00,2.34727466e-02,4.40000000e+00,2.39688756e+150,1.61904873e+152
4.40500000e+00,1.09951063e+00,2.34695669e-02,4.40500000e+00,3.61925361e+150,2.44473210e+152
4.41000000e+00,1.09962796e+00,2.34663863e-02,4.41000000e+00,5.46500258e+150,3.69149794e+152
4.41500000e+00,1.09974527e+00,2.34632049e-02,4.41500000e+00,8.25204763e+150,5.57409011e+152
4.42000000e+00,1.09986257e+00,2.34600232e-02,4.42000000e+00,1.24604315e+151,8.41676769e+152
4.42500000e+00,1.09997986e+00,2.34568414e-02,4.42500000e+00,1.88150093e+151,1.27091556e+153
4.43000000e+00,1.10009713e+00,2.34536601e-02,4.43000000e+00,2.84102981e+151,1.91905778e+153
4.43500000e+00,1.10021438e+00,2.34504794e-02,4.43500000e+00,4.28989978e+151,2.89773993e+153
4.44000000e+00,1.10033161e+00,2.34472998e-02,4.44000000e+00,6.47766525e+151,4.37553095e+153
4.44500000e+00,1.10044884e+00,2.34441216e-02,4.44500000e+00,9.78114859e+151,6.60696666e+153
4.45000000e+00,1.10056604e+00,2.34409452e-02,4.45000000e+00,1.47693442e+152,9.97639120e+153
4.45500000e+00,1.10068323e+00,2.34377708e-02,4.45500000e+00,2.23014225e+152,1.50641567e+154
4.46000000e+00,1.10080040e+00,2.34345990e-02,4.46000000e+00,3.36747144e+152,2.27465838e+154
4.46500000e+00,1.10091756e+00,2.34314299e-02,4.46500000e+00,5.08481640e+152,3.43468992e+154
4.47000000e+00,1.10103470e+00,2.34282639e-02,4.47000000e+00,7.67797390e+152,5.18631500e+154
4.47500000e+00,1.10115183e+00,2.34251015e-02,4.47500000e+00,1.15935913e+153,7.83123480e+154
4.48000000e+00,1.10126894e+00,2.34219429e-02,4.48000000e+00,1.75060974e+153,1.18250123e+155
4.48500000e+00,1.10138603e+00,2.34187884e-02,4.48500000e+00,2.64338668e+153,1.78555386e+155
4.49000000e+00,1.10150311e+00,2.34156385e-02,4.49000000e+00,3.99146248e+153,2.69615162e+155
4.49500000e+00,1.10162017e+00,2.34124934e-02,4.49500000e+00,6.02703074e+153,4.07113652e+155
4.50000000e+00,1.10173722e+00,2.34093535e-02,4.50000000e+00,9.10069924e+153,6.14733698e+155
4.50500000e+00,1.10185425e+00,2.34062191e-02,4.50500000e+00,1.37418789e+154,9.28235932e+155
4.51000000e+00,1.10197126e+00,2.34030906e-02,4.51000000e+00,2.07499699e+154,1.40161821e+156
4.51500000e+00,1.10208826e+00,2.33999683e-02,4.51500000e+00,3.13320512e+154,2.11641624e+156
4.52000000e+00,1.10220525e+00,2.33968524e-02,4.52000000e+00,4.73107880e+154,3.19574738e+156
4.52500000e+00,1.10232222e+00,2.33937434e-02,4.52500000e+00,7.14383700e+154,4.82551640e+156
4.53000000e+00,1.10243917e+00,2.33906416e-02,4.53000000e+00,1.07870550e+155,7.28643594e+156
4.53500000e+00,1.10255611e+00,2.33875473e-02,4.53500000e+00,1.62882433e+155,1.10023766e+157
4.54000000e+00,1.10267303e+00,2.33844608e-02,4.54000000e+00,2.45949306e+155,1.66133747e+157
4.54500000e+00,1.10278994e+00,2.33813824e-02,4.54500000e+00,3.71378671e+155,2.50858728e+157
4.55000000e+00,1.10290683e+00,2.33783125e-02,4.55000000e+00,5.60774572e+155,3.78791802e+157
4.55500000e+00,1.10302370e+00,2.33752514e-02,4.55500000e+00,8.46758700e+155,5.71968256e+157
4.56000000e+00,1.10314057e+00,2.33721993e-02,4.56000000e+00,1.27858917e+156,8.63660946e+157
4.56500000e+00,1.10325741e+00,2.33691567e-02,4.56500000e+00,1.93064479e+156,1.30411124e+158
4.57000000e+00,1.10337424e+00,2.33661238e-02,4.57000000e+00,2.91523609e+156,1.96918261e+158
4.57500000e+00,1.10349106e+00,2.33631009e-02,4.57500000e+00,4.40194982e+156,2.97342745e+158
4.58000000e+00,1.10360786e+00,2.33600883e-02,4.58000000e+00,6.64685864e+156,4.48981764e+158
4.58500000e+00,1.10372464e+00,2.33570865e-02,4.58500000e+00,1.00366273e+157,6.77953733e+158
4.59000000e+00,1.10384141e+00,2.33540955e-02,4.59000000e+00,1.51551121e+157,1.02369696e+159
4.59500000e+00,1.10395817e+00,2.33511158e-02,4.59500000e+00,2.28839246e+157,1.54576250e+159
4.60000000e+00,1.10407491e+00,2.33481477e-02,4.60000000e+00,3.45542812e+157,2.33407132e+159
4.60500000e+00,1.10419164e+00,2.33451914e-02,4.60500000e+00,5.21762927e+157,3.52440231e+159
4.61000000e+00,1.10430835e+00,2.33422472e-02,4.61000000e+00,7.87851875e+157,5.32177896e+159
4.61500000e+00,1.10442504e+00,2.33393155e-02,4.61500000e+00,1.18964101e+158,8.03578275e+159
4.62000000e+00,1.10454173e+00,2.33363965e-02,4.62000000e+00,1.79633480e+158,1.21338757e+160
4.62500000e+00,1.10465839e+00,2.33334905e-02,4.62500000e+00,2.71243062e+158,1.83219164e+160
4.63000000e+00,1.10477505e+00,2.33305978e-02,4.63000000e+00,4.09571749e+158,2.76657375e+160
4.63500000e+00,1.10489168e+00,2.33277188e-02,4.63500000e+00,6.18445378e+158,4.17747257e+160
4.64000000e+00,1.10500831e+00,2.33248535e-02,4.64000000e+00,9.33840496e+158,6.30790236e+160
4.64500000e+00,1.10512492e+00,2.33220025e-02,4.64500000e+00,1.41008099e+159,9.52480991e+160
4.65000000e+00,1.10524151e+00,2.33191658e-02,4.65000000e+00,2.12919488e+159,1.43822778e+161
4.65500000e+00,1.10535810e+00,2.33163439e-02,4.65500000e+00,3.21504287e+159,2.17169598e+161
4.66000000e+00,1.10547466e+00,2.33135370e-02,4.66000000e+00,4.85465222e+159,3.27921870e+161
4.66500000e+00,1.10559122e+00,2.33107452e-02,4.66500000e+00,7.33043046e+159,4.95155648e+161
4.67000000e+00,1.10570776e+00,2.33079690e-02,4.67000000e+00,1.10688075e+160,7.47675401e+161
4.67500000e+00,1.10582428e+00,2.33052086e-02,4.67500000e+00,1.67136841e+160,1.12897532e+162
4.68000000e+00,1.10594080e+00,2.33024642e-02,4.68000000e+00,2.52373379e+160,1.70473078e+162
4.68500000e+00,1.10605729e+00,2.32997361e-02,4.68500000e+00,3.81078896e+160,2.57411033e+162
4.69000000e+00,1.10617378e+00,2.32970246e-02,4.69000000e+00,5.75421723e+160,3.88685655e+162
4.69500000e+00,1.10629025e+00,2.32943298e-02,4.69500000e+00,8.68875614e+160,5.86907781e+162
4.70000000e+00,1.10640671e+00,2.32916522e-02,4.70000000e+00,1.31198528e+161,8.86219338e+162
4.70500000e+00,1.10652315e+00,2.32889918e-02,4.70500000e+00,1.98107227e+161,1.33817397e+163
4.71000000e+00,1.10663959e+00,2.32863490e-02,4.71000000e+00,2.99138061e+161,2.02061667e+163
4.71500000e+00,1.10675601e+00,2.32837240e-02,4.71500000e+00,4.51692655e+161,3.05109189e+163
