# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
6.962519507903296434e-01 1.072106275232987294e+00 1.831287204311048689e-01
7.035809186933857928e-01 1.072892306485679237e+00 1.842463822133802442e-01
7.109098865964418312e-01 1.073678914029308373e+00 1.853510036493670743e-01
7.182388544994979807e-01 1.074466098286391391e+00 1.864426885119719879e-01
7.255678224025540191e-01 1.075253859679754731e+00 1.875215399784018744e-01
7.328967903056101685e-01 1.076042198632534586e+00 1.885876606313269810e-01
7.402257582086663179e-01 1.076831115568177566e+00 1.896411524600760679e-01
7.475547261117223563e-01 1.077620610910440924e+00 1.906821168618595130e-01
7.548836940147785057e-01 1.078410685083392107e+00 1.917106546430228375e-01
7.622126619178345441e-01 1.079201338511410091e+00 1.927268660203285133e-01
7.695416298208906936e-01 1.079992571619184494e+00 1.937308506222652493e-01
7.768705977239467320e-01 1.080784384831716238e+00 1.947227074903852828e-01
7.841995656270028814e-01 1.081576778574318443e+00 1.957025350806700925e-01
7.915285335300590308e-01 1.082369753272615531e+00 1.966704312649182329e-01
7.988575014331150692e-01 1.083163309352544124e+00 1.976264933321637551e-01
8.061864693361712186e-01 1.083957447240353034e+00 1.985708179901164439e-01
8.135154372392272570e-01 1.084752167362603936e+00 1.995035013666294210e-01
8.208444051422834065e-01 1.085547470146170923e+00 2.004246390111875664e-01
8.281733730453394449e-01 1.086343356018240947e+00 2.013343258964229165e-01
8.355023409483955943e-01 1.087139825406314486e+00 2.022326564196515741e-01
8.428313088514517437e-01 1.087936878738205104e+00 2.031197244044329608e-01
8.501602767545077821e-01 1.088734516442040556e+00 2.039956231021524125e-01
8.574892446575639315e-01 1.089532738946261903e+00 2.048604451936234527e-01
8.648182125606199699e-01 1.090331546679624619e+00 2.057142827907133265e-01
8.721471804636761194e-01 1.091130940071198374e+00 2.065572274379876005e-01
8.794761483667321578e-01 1.091930919550367696e+00 2.073893701143759150e-01
8.868051162697883072e-01 1.092731485546831749e+00 2.082108012348563020e-01
8.941340841728444566e-01 1.093532638490604780e+00 2.090216106521595174e-01
9.014630520759004950e-01 1.094334378812015895e+00 2.098218876584919124e-01
9.087920199789566444e-01 1.095136706941710392e+00 2.106117209872769847e-01
9.161209878820126828e-01 1.095939623310648869e+00 2.113911988149136945e-01
9.234499557850688323e-01 1.096743128350108343e+00 2.121604087625534318e-01
9.307789236881248707e-01 1.097547222491681129e+00 2.129194378978921942e-01
9.381078915911810201e-01 1.098351906167276848e+00 2.136683727369820818e-01
9.454368594942371695e-01 1.099157179809121310e+00 2.144072992460554772e-01
9.527658273972932079e-01 1.099963043849757405e+00 2.151363028433678215e-01
9.600947953003493573e-01 1.100769498722045325e+00 2.158554684010539626e-01
