# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
2.199057124940336228e-01 1.091946938470192974e+00 5.138232156338740086e-01
2.221963969991797849e-01 1.092947919359401832e+00 5.179723274914782571e-01
2.244870815043259749e-01 1.093949817841495031e+00 5.221000090536438432e-01
2.267777660094721648e-01 1.094952634757623944e+00 5.262063529390915706e-01
2.290684505146183547e-01 1.095956370949711101e+00 5.302914513686721731e-01
2.313591350197645169e-01 1.096961027260451305e+00 5.343553961671368979e-01
2.336498195249107068e-01 1.097966604533311408e+00 5.383982787648933233e-01
2.359405040300568968e-01 1.098973103612531643e+00 5.424201901997589559e-01
2.382311885352030867e-01 1.099980525343126070e+00 5.464212211187041701e-01
2.405218730403492489e-01 1.100988870570883238e+00 5.504014617795860431e-01
2.428125575454954388e-01 1.101998140142367300e+00 5.543610020528786375e-01
2.451032420506416287e-01 1.103008334904918453e+00 5.582999314233890731e-01
2.473939265557878187e-01 1.104019455706653607e+00 5.622183389919708230e-01
2.496846110609339808e-01 1.105031503396466608e+00 5.661163134772223549e-01
2.519752955660801708e-01 1.106044478824030453e+00 5.699939432171903242e-01
2.542659800712263607e-01 1.107058382839796185e+00 5.738513161710484534e-01
2.565566645763725506e-01 1.108073216294994667e+00 5.776885199207814070e-01
2.588473490815187406e-01 1.109088980041637473e+00 5.815056416728576760e-01
2.611380335866649305e-01 1.110105674932516884e+00 5.853027682598899162e-01
2.634287180918111204e-01 1.111123301821206777e+00 5.890799861422925110e-01
2.657194025969572548e-01 1.112141861562063738e+00 5.928373814099313632e-01
2.680100871021034448e-01 1.113161355010227727e+00 5.965750397837639163e-01
2.703007716072496347e-01 1.114181783021622074e+00 6.002930466174702939e-01
2.725914561123958246e-01 1.115203146452955041e+00 6.039914868990821084e-01
2.748821406175420146e-01 1.116225446161720258e+00 6.076704452525996114e-01
2.771728251226882045e-01 1.117248683006197396e+00 6.113300059396011843e-01
2.794635096278343944e-01 1.118272857845452606e+00 6.149702528608470553e-01
2.817541941329805844e-01 1.119297971539340297e+00 6.185912695578771325e-01
2.840448786381267188e-01 1.120324024948502251e+00 6.221931392145944040e-01
2.863355631432729087e-01 1.121351018934369614e+00 6.257759446588511132e-01
2.886262476484190986e-01 1.122378954359163128e+00 6.293397683640195028e-01
2.909169321535652886e-01 1.123407832085894009e+00 6.328846924505590055e-01
2.932076166587114785e-01 1.124437652978364399e+00 6.364107986875746636e-01
2.954983011638576684e-01 1.125468417901168472e+00 6.399181684943707760e-01
2.977889856690038584e-01 1.126500127719692879e+00 6.434068829419936630e-01
3.000796701741500483e-01 1.127532783300117414e+00 6.468770227547697704e-01
3.023703546792962382e-01 1.128566385509416570e+00 6.503286683118387757e-01
3.046610391844423726e-01 1.129600935215358426e+00 6.537618996486709300e-01
3.069517236895885626e-01 1.130636433286507758e+00 6.571767964585910615e-01
3.092424081947347525e-01 1.131672880592224484e+00 6.605734380942813733e-01
3.115330926998809424e-01 1.132710278002666549e+00 6.639519035692889037e-01
3.138237772050271324e-01 1.133748626388788372e+00 6.673122715595158905e-01
3.161144617101733223e-01 1.134787926622343734e+00 6.706546204047142412e-01
3.184051462153195122e-01 1.135828179575885111e+00 6.739790281099625746e-01
3.206958307204657022e-01 1.136869386122764780e+00 6.772855723471427059e-01
3.229865152256118366e-01 1.137911547137136159e+00 6.805743304564093599e-01
3.252771997307580265e-01 1.138954663493953134e+00 6.838453794476474501e-01
3.275678842359042164e-01 1.139998736068972285e+00 6.870987960019312446e-01
3.298585687410504064e-01 1.141043765738752880e+00 6.903346564729692103e-01
3.321492532461965963e-01 1.142089753380657768e+00 6.935530368885474140e-01
3.344399377513427862e-01 1.143136699872853601e+00 6.967540129519607106e-01
3.367306222564889762e-01 1.144184606094312828e+00 6.999376600434452644e-01
3.390213067616351661e-01 1.145233472924812812e+00 7.031040532215957484e-01
3.413119912667813560e-01 1.146283301244938269e+00 7.062532672247842092e-01
3.436026757719274904e-01 1.147334091936080380e+00 7.093853764725643885e-01
3.458933602770736804e-01 1.148385845880438572e+00 7.125004550670763770e-01
3.481840447822198703e-01 1.149438563961021176e+00 7.155985767944418319e-01
3.504747292873660602e-01 1.150492247061645879e+00 7.186798151261527545e-01
3.527654137925122502e-01 1.151546896066940162e+00 7.217442432204520530e-01
3.550560982976584401e-01 1.152602511862343082e+00 7.247919339237142156e-01
3.573467828028046300e-01 1.153659095334104823e+00 7.278229597718106625e-01
3.596374673079508200e-01 1.154716647369288474e+00 7.308373929914777634e-01
3.619281518130969544e-01 1.155775168855769808e+00 7.338353055016703097e-01
3.642188363182431443e-01 1.156834660682238614e+00 7.368167689149155430e-01
3.665095208233893342e-01 1.157895123738199805e+00 7.397818545386577460e-01
3.688002053285355242e-01 1.158956558913972978e+00 7.427306333765955060e-01
3.710908898336817141e-01 1.160018967100694631e+00 7.456631761300169803e-01
3.733815743388279040e-01 1.161082349190317498e+00 7.485795531991239482e-01
3.756722588439740940e-01 1.162146706075612546e+00 7.514798346843548638e-01
3.779629433491202839e-01 1.163212038650168312e+00 7.543640903876954740e-01
3.802536278542664738e-01 1.164278347808393566e+00 7.572323898139941001e-01
3.825443123594126082e-01 1.165345634445515977e+00 7.600848021722558245e-01
3.848349968645587982e-01 1.166413899457584558e+00 7.629213963769460038e-01
3.871256813697049881e-01 1.167483143741469220e+00 7.657422410492761289e-01
3.894163658748511780e-01 1.168553368194862774e+00 7.685474045184926828e-01
3.917070503799973680e-01 1.169624573716280036e+00 7.713369548231515660e-01
3.939977348851435579e-01 1.170696761205059833e+00 7.741109597123937425e-01
3.962884193902897478e-01 1.171769931561365663e+00 7.768694866472128924e-01
3.985791038954359378e-01 1.172844085686185922e+00 7.796126028017149601e-01
4.008697884005820722e-01 1.173919224481335011e+00 7.823403750643750376e-01
4.031604729057282621e-01 1.174995348849454224e+00 7.850528700392865877e-01
4.054511574108744520e-01 1.176072459694011973e+00 7.877501540474067809e-01
4.077418419160206420e-01 1.177150557919304674e+00 7.904322931277917297e-01
4.100325264211668319e-01 1.178229644430458523e+00 7.930993530388351642e-01
4.123232109263130218e-01 1.179309720133428829e+00 7.957513992594898999e-01
4.146138954314592118e-01 1.180390785935001352e+00 7.983884969904918583e-01
4.169045799366054017e-01 1.181472842742793405e+00 8.010107111555774262e-01
4.191952644417515916e-01 1.182555891465254083e+00 8.036181064026911569e-01
4.214859489468977261e-01 1.183639933011665368e+00 8.062107471051932484e-01
4.237766334520439160e-01 1.184724968292142577e+00 8.087886973630572518e-01
4.260673179571901059e-01 1.185810998217635692e+00 8.113520210040656711e-01
4.283580024623362958e-01 1.186898023699929361e+00 8.139007815849974570e-01
4.306486869674824858e-01 1.187986045651644451e+00 8.164350423928119493e-01
4.329393714726286757e-01 1.189075064986238051e+00 8.189548664458260463e-01
