# tau=beta*t, lambda=exp[(gamma_dot/beta)*tau], sigma_norm=sigma/mu
# tau lambda sigma_over_mu
1.236969632778939232e-02 1.025047950688396936e+00 7.969124617714995473e-02
1.282783322881862927e-02 1.025987605696358607e+00 8.253646235162691303e-02
1.328597012984786621e-02 1.026928122080154715e+00 8.537428393498057433e-02
1.374410703087710316e-02 1.027869500629403410e+00 8.820473110270371508e-02
1.420224393190634010e-02 1.028811742134446039e+00 9.102782397555936322e-02
1.466038083293557705e-02 1.029754847386348704e+00 9.384358261977426841e-02
1.511851773396481399e-02 1.030698817176903148e+00 9.665202704722845872e-02
1.557665463499405094e-02 1.031643652298625868e+00 9.945317721563946833e-02
1.603479153602328788e-02 1.032589353544761002e+00 1.022470530287561130e-01
1.649292843705252309e-02 1.033535921709279215e+00 1.050336743365419268e-01
1.695106533808176177e-02 1.034483357586879038e+00 1.078130609353622898e-01
1.740920223911099698e-02 1.035431661972987749e+00 1.105852325681714599e-01
1.786733914014023566e-02 1.036380835663761601e+00 1.133502089246960082e-01
1.832547604116947088e-02 1.037330879456086485e+00 1.161080096416202273e-01
1.878361294219870956e-02 1.038281794147579262e+00 1.188586543027699421e-01
1.924174984322794477e-02 1.039233580536587764e+00 1.216021624392952111e-01
1.969988674425717998e-02 1.040186239422191461e+00 1.243385535298520972e-01
2.015802364528641866e-02 1.041139771604202569e+00 1.270678470007849670e-01
2.061616054631565387e-02 1.042094177883166273e+00 1.297900622263072901e-01
2.107429744734489255e-02 1.043049459060362061e+00 1.325052185286823836e-01
2.153243434837412776e-02 1.044005615937803277e+00 1.352133351784011173e-01
2.199057124940336644e-02 1.044962649318238901e+00 1.379144313943631850e-01
2.244870815043260165e-02 1.045920560005153988e+00 1.406085263440546851e-01
2.290684505146184033e-02 1.046879348802769671e+00 1.432956391437244792e-01
2.336498195249107554e-02 1.047839016516044497e+00 1.459757888585619390e-01
2.382311885352031422e-02 1.048799563950675084e+00 1.486489945028739434e-01
2.428125575454954943e-02 1.049760991913096131e+00 1.513152750402578239e-01
2.473939265557878464e-02 1.050723301210482186e+00 1.539746493837806096e-01
2.519752955660802332e-02 1.051686492650747429e+00 1.566271363961489749e-01
2.565566645763725853e-02 1.052650567042546559e+00 1.592727548898854595e-01
2.611380335866649721e-02 1.053615525195275904e+00 1.619115236275006364e-01
2.657194025969573242e-02 1.054581367919073198e+00 1.645434613216643915e-01
2.703007716072497110e-02 1.055548096024819804e+00 1.671685866353816163e-01
2.748821406175420631e-02 1.056515710324139157e+00 1.697869181821562989e-01
2.794635096278344499e-02 1.057484211629399651e+00 1.723984745261688822e-01
2.840448786381268020e-02 1.058453600753713753e+00 1.750032741824413540e-01
2.886262476484191888e-02 1.059423878510939998e+00 1.776013356170098034e-01
2.932076166587115409e-02 1.060395045715682549e+00 1.801926772470908711e-01
2.977889856690038931e-02 1.061367103183292082e+00 1.827773174412481161e-01
3.023703546792962799e-02 1.062340051729866897e+00 1.853552745195631568e-01
3.069517236895886320e-02 1.063313892172254027e+00 1.879265667538011497e-01
3.115330926998810188e-02 1.064288625328048132e+00 1.904912123675733260e-01
3.161144617101734056e-02 1.065264252015594382e+00 1.930492295365078548e-01
